Date Posted,Link,Text,Region
2/23/2020,https://www.poynter.org/?ifcn_misinformation=according-to-a-study-the-novel-coronavirus-sars-cov-2-was-the-result-of-experiements-done-in-a-lab-located-near-the-market-in-wuhan," According to a study the novel coronavirus SARS-CoV-2 was the result of experiements done in a lab located near the market in Wuhan.		",Europe
2/23/2020,https://www.poynter.org/?ifcn_misinformation=a-facebook-status-from-2012-talked-about-the-spread-of-coronavirus-in-2020," A Facebook status from 2012 talked about the spread of coronavirus in 2020.		",Europe
2/23/2020,https://www.poynter.org/?ifcn_misinformation=years-ago-there-was-a-hand-sanitizer-active-against-sars-cov-2," Years ago, there was a hand sanitizer active against Sars-Cov-2.		",Europe
2/23/2020,https://www.poynter.org/?ifcn_misinformation=whether-bill-gates-wrote-letter-saying-covid-is-teaching-humans-a-lesson," Bill Gates wrote a letter saying COVID-19 is teaching humans a lesson.		",United States
2/24/2020,https://www.poynter.org/?ifcn_misinformation=the-link-between-covid-19-and-5g-is-being-hidden," The link between COVID-19 and 5G is being hidden.		",Europe
2/24/2020,https://www.poynter.org/?ifcn_misinformation=cov-case-in-uttar-pradesh-district," Coronavirus case in Uttar Pradesh district, India.		",India
2/24/2020,https://www.poynter.org/?ifcn_misinformation=a-chinese-swat-team-takes-down-a-coronavirus-suspect," A Chinese SWAT Team takes down a coronavirus suspect		",India
2/24/2020,https://www.poynter.org/?ifcn_misinformation=2-coronavirus-sars-cov-2-cases-in-bovalino-reggio-calabria-italy," There are two coronavirus cases in Bovalino (Reggio Calabria, Italy).		",Europe
2/24/2020,https://www.poynter.org/?ifcn_misinformation=coronavirus-sars-cov-2-in-santegidio-abruzzo-italy," Coronavirus in Sant'Egidio (Abruzzo, Italy).		",Europe
2/24/2020,https://www.poynter.org/?ifcn_misinformation=coronavirus-sars-cov-2-sites-in-parabiago-e-nerviano-lombardia-italy," Coronavirus in Parabiago e Nerviano (Lombardia, Italy)		",Europe
2/24/2020,https://www.poynter.org/?ifcn_misinformation=coronavirus-sars-cov-2-at-bosch-company-in-bari-puglia-because-chinese-people-visited-the-week-before," Coronavirus is present at Bosch company in Bari (Puglia) because Chinese people visited the week before.		",Europe
2/24/2020,https://www.poynter.org/?ifcn_misinformation=a-book-by-d-koontz-the-eyes-of-darkness-predicted-covid-19-in-1981," A book by D.Koontz, ""The Eyes of Darkness,"" predicted COVID-19 in 1981.		",Europe
2/24/2020,https://www.poynter.org/?ifcn_misinformation=sensationalist-article-claiming-nostradamus-predicted-the-coronavirus," Nostradamus predicted the coronavirus.		",Europe
2/24/2020,https://www.poynter.org/?ifcn_misinformation=a-1981-book-predicted-the-coronavirus-outbreak," A 1981 book predicted the coronavirus outbreak.		",Europe
2/24/2020,https://www.poynter.org/?ifcn_misinformation=radio-host-rush-limbaugh-compres-novel-coronavirus-to-common-cold," Radio host Rush Limbaugh compares novel coronavirus to ""the common cold.""		",United States
2/24/2020,https://www.poynter.org/?ifcn_misinformation=the-coronavirus-is-the-common-cold-folks," ""The coronavirus is the common cold, folks.""		",United States
